Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check
1,-0.2113658257509679,0,0,0,0,-0.4838192581143885,-1.0043330698784632,0,-0.6525796203023917,-0.6703243625734315,1,-1.1146938629673975,1,1,-0.8097521059675994,0,1,0,0,0,0,0,1,0,-0.31834334533902764,-0.6222389671737358,-0.24968347815386988,-0.2709700983692945,-0.7809714680365123,-0.7241862405849647,-0.529959009263129,1,0,0,0,1,0,0,0,0,0
0,0.919362119443341,0,0,0,1,1.583558595671326,0.8559473838966125,0,-0.6525796203023917,-0.8327486129976499,1,-0.3903380243311547,1,1,-0.12346487851288583,0,1,1,0,1,1,1,1,1,1.3412459899264324,-0.4460781877785464,-0.24968347815386988,-0.2709700983692945,-0.6499706935446508,-0.5461879248313695,1.2694606021693444,1,0,0,0,0,1,0,0,0,0
1,-0.8659977940213572,0,0,0,0,-0.4838192581143885,-0.8546912226393145,0,-0.6525796203023917,-1.2794153016642504,1,1.6997236300328649,0,1,-0.17248539475965108,0,0,0,1,0,0,0,1,0,-0.5274516015824755,-0.9858923772492159,-0.24968347815386988,-0.2709700983692945,-0.8323060969296526,-1.027059856615477,0.7452599310517611,1,0,0,0,1,0,0,0,1,0
0,-1.342093770945277,1,0,1,0,-0.4838192581143885,2.261672394018909,1,2.0049076083088657,1.0351302668808613,1,0.26009071886683205,1,1,1.5922531901238983,1,0,0,1,0,1,1,1,1,0.1164690605005232,0.7406196831109552,-0.24968347815386988,-0.2709700983692945,0.9590656951680683,0.8670249639474686,0.7284586274903002,1,0,0,0,0,0,1,0,0,0
0,0.14570615694197175,0,0,1,1,2.617247522564184,1.7104151053592316,1,0.011792186850422687,-1.1982031764521412,1,-0.2463747332145515,0,1,0.07261718647417519,0,1,0,1,0,0,0,1,1,0.5014937862821097,-0.9012665519239725,-0.24968347815386988,-0.2709700983692945,-0.8224408690526049,-0.9571913913860881,-0.11580687647311523,1,0,0,0,0,1,0,0,0,0
0,-1.0445337853678272,1,0,0,1,0.5498696687784688,0.9980669251885514,0,-0.6525796203023917,-1.2794153016642504,0,-1.4901656897985383,0,1,1.3471506088900718,0,0,0,0,0,0,0,0,0,-1.334012018521489,-0.9965861242871952,-0.24968347815386988,2.549436008647923,-0.8904223315730028,-1.028275111754528,-1.1230450249827024,0,0,0,1,0,0,0,0,1,0
0,-0.8064857969058673,0,0,1,1,0.5498696687784688,2.119174371924595,1,1.3405358011560515,-0.1830516113007764,1,1.195203627831435,1,1,0.46478131644829723,0,0,0,0,0,0,0,1,0,-0.4975789935476973,-0.3868445107698218,-0.24968347815386988,-0.2709700983692945,0.47946202996941867,-0.16644332756965954,0.7124973891069122,0,1,0,0,1,0,0,0,1,0
0,1.5739940877137304,0,1,1,0,-0.4838192581143885,-0.7754468046419785,1,0.011792186850422687,1.481796955547462,1,-0.23275658405487276,1,1,-0.3685674597467121,0,1,0,1,1,1,1,1,0,1.3445651685969637,2.0725852863970395,-0.24968347815386988,-0.2709700983692945,0.6902707257899713,1.8417327097010319,0.8947915327487641,1,0,0,0,0,1,0,1,1,0
1,1.0383861136743209,0,0,0,0,-0.4838192581143885,0.8238238257950059,0,-0.6525796203023917,0.10119082694160572,1,-0.16790825472306947,1,1,0.023596670227409938,1,0,0,0,0,0,0,1,0,-0.32000293467429297,-0.16071356774654424,-0.24968347815386988,-0.2709700983692945,-0.04727025079994156,-0.14275803973062134,0.9208335532690286,1,0,0,0,1,0,0,1,1,0
1,-0.38990181709743776,0,0,0,0,-0.4838192581143885,-0.9409375354805943,0,-0.6525796203023917,0.26361507736582407,0,-1.4901656897985383,0,1,-0.3685674597467121,1,0,0,1,1,0,0,1,0,-0.658559159068447,-0.21946316567124513,-0.24968347815386988,-0.2709700983692945,-0.8904223315730028,-0.4377446847297572,-0.3350638879501813,0,1,0,0,1,0,1,0,0,0
